Essential Skills Element ID,Essential Skills Element Name,Work Activities Element ID,Work Activities Element Name
2.A.2.a,Critical Thinking,4.A.4.a.1,Interpreting the Meaning of Information for Others
2.A.2.a,Critical Thinking,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
2.A.2.a,Critical Thinking,4.A.4.b.1,Coordinating the Work and Activities of Others
2.A.2.a,Critical Thinking,4.A.4.b.2,Developing and Building Teams
2.A.2.a,Critical Thinking,4.A.4.b.3,Training and Teaching Others
2.A.2.a,Critical Thinking,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
2.A.2.a,Critical Thinking,4.A.4.b.5,Coaching and Developing Others
2.A.2.a,Critical Thinking,4.A.4.b.6,Providing Consultation and Advice to Others
2.A.2.a,Critical Thinking,4.A.4.c.2,Staffing Organizational Units
2.A.2.a,Critical Thinking,4.A.4.c.3,Monitoring and Controlling Resources
2.A.2.b,Active Learning,4.A.2.b.1,Making Decisions and Solving Problems
2.A.2.b,Active Learning,4.A.2.b.3,Updating and Using Relevant Knowledge
2.A.2.b,Active Learning,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
2.A.2.b,Active Learning,4.A.4.b.3,Training and Teaching Others
2.A.2.b,Active Learning,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
2.A.2.c,Learning Strategies,4.A.2.b.3,Updating and Using Relevant Knowledge
2.A.2.c,Learning Strategies,4.A.4.b.3,Training and Teaching Others
2.A.2.c,Learning Strategies,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
2.A.2.c,Learning Strategies,4.A.4.b.5,Coaching and Developing Others
2.A.2.d,Monitoring,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
2.A.2.d,Monitoring,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
2.A.2.d,Monitoring,4.A.4.a.5,Assisting and Caring for Others
2.A.2.d,Monitoring,4.A.4.a.6,Selling or Influencing Others
2.A.2.d,Monitoring,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
2.A.2.d,Monitoring,4.A.4.b.1,Coordinating the Work and Activities of Others
2.A.2.d,Monitoring,4.A.4.b.2,Developing and Building Teams
2.A.2.d,Monitoring,4.A.4.b.3,Training and Teaching Others
2.A.2.d,Monitoring,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
2.A.2.d,Monitoring,4.A.4.b.5,Coaching and Developing Others
2.A.2.d,Monitoring,4.A.4.b.6,Providing Consultation and Advice to Others
2.A.2.d,Monitoring,4.A.4.c.2,Staffing Organizational Units
2.A.2.d,Monitoring,4.A.4.c.3,Monitoring and Controlling Resources
